0.400000000D+00  -.314473025D+00  0.949890798D-12
0.410000000D+00  -.316012454D+00  0.386505378D-11
0.420000000D+00  -.317552314D+00  0.131680724D-10
0.430000000D+00  -.319092722D+00  0.388836663D-10
0.440000000D+00  -.320633792D+00  0.102117809D-09
0.450000000D+00  -.322175633D+00  0.243271935D-09
0.460000000D+00  -.323718347D+00  0.533878455D-09
0.470000000D+00  -.325262035D+00  0.109272222D-08
0.480000000D+00  -.326806793D+00  0.210687988D-08
0.490000000D+00  -.328352711D+00  0.385822965D-08
0.500000000D+00  -.329899878D+00  0.675581078D-08
0.510000000D+00  -.331448380D+00  0.113741514D-07
0.520000000D+00  -.332998297D+00  0.184973864D-07
0.530000000D+00  -.334549708D+00  0.291687328D-07
0.540000000D+00  -.336102689D+00  0.447447823D-07
0.550000000D+00  -.337657313D+00  0.669541509D-07
0.560000000D+00  -.339213651D+00  0.979602390D-07
0.570000000D+00  -.340771771D+00  0.140428062D-06
0.580000000D+00  -.342331737D+00  0.197595154D-06
0.590000000D+00  -.343893615D+00  0.273346435D-06
0.600000000D+00  -.345457464D+00  0.372292786D-06
0.610000000D+00  -.347023345D+00  0.499853178D-06
0.620000000D+00  -.348591314D+00  0.662340509D-06
0.630000000D+00  -.350161427D+00  0.867051453D-06
0.640000000D+00  -.351733738D+00  0.112236036D-05
0.650000000D+00  -.353308299D+00  0.143781671D-05
0.660000000D+00  -.354885160D+00  0.182424522D-05
0.670000000D+00  -.356464371D+00  0.229384764D-05
0.680000000D+00  -.358045977D+00  0.286030609D-05
0.690000000D+00  -.359630026D+00  0.353888791D-05
0.700000000D+00  -.361216561D+00  0.434655265D-05
0.710000000D+00  -.362805626D+00  0.530206133D-05
0.720000000D+00  -.364397263D+00  0.642608770D-05
0.730000000D+00  -.365991511D+00  0.774133155D-05
0.740000000D+00  -.367588411D+00  0.927263359D-05
0.750000000D+00  -.369188001D+00  0.110470911D-04
0.760000000D+00  -.370790317D+00  0.130941724D-04
0.770000000D+00  -.372395396D+00  0.154458285D-04
0.780000000D+00  -.374003272D+00  0.181365984D-04
0.790000000D+00  -.375613979D+00  0.212037096D-04
0.800000000D+00  -.377227550D+00  0.246871702D-04
0.810000000D+00  -.378844015D+00  0.286298555D-04
0.820000000D+00  -.380463406D+00  0.330775860D-04
0.830000000D+00  -.382085752D+00  0.380791983D-04
0.840000000D+00  -.383711080D+00  0.436866076D-04
0.850000000D+00  -.385339419D+00  0.499548604D-04
0.860000000D+00  -.386970795D+00  0.569421772D-04
0.870000000D+00  -.388605231D+00  0.647099806D-04
0.880000000D+00  -.390242752D+00  0.733229072D-04
0.890000000D+00  -.391883380D+00  0.828488015D-04
0.900000000D+00  -.393527136D+00  0.933586912D-04
0.910000000D+00  -.395174041D+00  0.104926745D-03
0.920000000D+00  -.396824112D+00  0.117630213D-03
0.930000000D+00  -.398477366D+00  0.131549345D-03
0.940000000D+00  -.400133819D+00  0.146767292D-03
0.950000000D+00  -.401793484D+00  0.163369987D-03
0.960000000D+00  -.403456374D+00  0.181446005D-03
0.970000000D+00  -.405122499D+00  0.201086399D-03
